Device,App package,App name,Start time,Start time ms,Duration ms
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 15:36:24 GMT+01:00 2021",1639233384624,29996
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 15:40:46 GMT+01:00 2021",1639233646166,2305
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:40:48 GMT+01:00 2021",1639233648472,3400
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 15:40:50 GMT+01:00 2021",1639233650268,771
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 15:40:51 GMT+01:00 2021",1639233651936,12550
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 15:40:59 GMT+01:00 2021",1639233659059,12151
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:41:02 GMT+01:00 2021",1639233662573,5232
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 15:44:51 GMT+01:00 2021",1639233891478,1260
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:44:52 GMT+01:00 2021",1639233892739,5747
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 15:44:53 GMT+01:00 2021",1639233893868,2310
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 15:44:58 GMT+01:00 2021",1639233898500,12940
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:45:11 GMT+01:00 2021",1639233911441,2881
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 15:45:14 GMT+01:00 2021",1639233914328,102586
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:46:56 GMT+01:00 2021",1639234016915,3410
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:47:18 GMT+01:00 2021",1639234038286,5040
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 15:47:19 GMT+01:00 2021",1639234039778,2497
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 15:47:23 GMT+01:00 2021",1639234043333,26808
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:47:50 GMT+01:00 2021",1639234070142,932
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:57:02 GMT+01:00 2021",1639234622742,9492
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:58:46 GMT+01:00 2021",1639234726615,9561
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 15:58:47 GMT+01:00 2021",1639234727929,1492
Redmi Note 8 Pro,"com.miui.gallery","Galeria","Sat Dec 11 15:58:51 GMT+01:00 2021",1639234731461,3575
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 15:58:56 GMT+01:00 2021",1639234736189,12765
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 16:06:36 GMT+01:00 2021",1639235196862,1585
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 16:06:38 GMT+01:00 2021",1639235198448,1101
Redmi Note 8 Pro,"com.miui.gallery","Galeria","Sat Dec 11 16:06:39 GMT+01:00 2021",1639235199553,276201
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 16:11:15 GMT+01:00 2021",1639235475755,4338
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 16:20:30 GMT+01:00 2021",1639236030070,4010
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 16:20:32 GMT+01:00 2021",1639236032139,1031
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 16:23:22 GMT+01:00 2021",1639236202900,1734
Redmi Note 8 Pro,"com.miui.calculator","Kalkulator","Sat Dec 11 16:23:24 GMT+01:00 2021",1639236204689,314734
Redmi Note 8 Pro,"com.miui.calculator","Kalkulator","Sat Dec 11 17:00:38 GMT+01:00 2021",1639238438905,2209
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:00:41 GMT+01:00 2021",1639238441115,2550
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:00:43 GMT+01:00 2021",1639238443671,19130
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:01:02 GMT+01:00 2021",1639238462802,1834
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:29:32 GMT+01:00 2021",1639240172642,11921
Redmi Note 8 Pro,"pl.mbank","mBank","Sat Dec 11 17:29:44 GMT+01:00 2021",1639240184605,17455
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:30:02 GMT+01:00 2021",1639240202068,1722
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:35:57 GMT+01:00 2021",1639240557199,3667
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:36:00 GMT+01:00 2021",1639240560871,39424
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:39:06 GMT+01:00 2021",1639240746147,34869
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:44:26 GMT+01:00 2021",1639241066826,48693
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:45:15 GMT+01:00 2021",1639241115520,19000
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:46:08 GMT+01:00 2021",1639241168932,2433
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:46:11 GMT+01:00 2021",1639241171372,4604
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:47:39 GMT+01:00 2021",1639241259292,12816
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:50:38 GMT+01:00 2021",1639241438898,5317
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:51:22 GMT+01:00 2021",1639241482868,1044
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:51:23 GMT+01:00 2021",1639241483913,794
Redmi Note 8 Pro,"com.android.camera","Aparat","Sat Dec 11 17:51:24 GMT+01:00 2021",1639241484718,3871
Redmi Note 8 Pro,"com.android.camera","Aparat","Sat Dec 11 17:53:37 GMT+01:00 2021",1639241617029,1462
